name,__glayCluster,,
YLR386W,13,,
YBL035C,13,,
YOR074C,13,,
YDR097C,13,,
YDR507C,13,,
YNL102W,13,,
YPL153C,13,,
YJL074C,13,,
YPR174C,13,,
YDR297W,13,,
YHR154W,13,,
YJR043C,13,,
YHR153C,13,,
YML012W,13,,
YLR384C,13,,
YDR093W,13,,
YNL313C,13,,
YJR030C,13,,
YGR078C,13,,
YLR385C,13,,
YIL131C,12,,
YNL068C,12,,
YLR399C,12,,
YBR010W,12,,
YIL130W,12,,
YCR075C,12,,
YMR086W,12,,
YAL024C,12,,
YPL227C,12,,
YFR052W,12,,
YML063W,12,,
YCR075W-A,12,,
YBR038W,12,,
YDR148C,12,,
YPL140C,12,,
YPL116W,12,,
YDL101C,12,,
YFR003C,12,,
YMR117C,12,,
YFR018C,12,,
YBR037C,12,,
YLR406C,12,,
YPL117C,12,,
YMR184W,12,,
YDR222W,12,,
YER123W,12,,
YPL155C,12,,
YML064C,12,,
YKR055W,12,,
YBR077C,12,,
YLR209C,12,,
YAL029C,12,,
YLR407W,12,,
YKR054C,12,,
YHR031C,12,,
YER070W,12,,
YER122C,12,,
YLR210W,12,,
YNL172W,12,,
YHR032W,12,,
YCR093W,12,,
YBR009C,12,,
YDL084W,12,,
YPL032C,12,,
YNL173C,12,,
YPL242C,12,,
YCR092C,12,,
YMR183C,12,,
YMR198W,12,,
YFR019W,12,,
YAL028W,12,,
YNL091W,12,,
YDR150W,12,,
YGR098C,12,,
YBR093C,12,,
YLR406C-A,12,,
YBR094W,12,,
YEL016C,12,,
YFR051C,12,,
YFR004W,12,,
YPL226W,12,,
YGR099W,12,,
YNL176C,12,,
YEL015W,12,,
YKL185W,11,,
YDR451C,11,,
YKL179C,11,,
YDR054C,11,,
YLR300W,11,,
YDR055W,11,,
YOL114C,11,,
YGR189C,11,,
YOL007C,11,,
YKR041W,11,,
YNL289W,11,,
YDR527W,11,,
YAR018C,11,,
YNL314W,10,,
YIL036W,10,,
YHR171W,10,,
YLR430W,10,,
YDR067C,10,,
YDR068W,10,,
YOL152W,10,,
YIR025W,10,,
YDR032C,10,,
YLR134W,10,,
YBR167C,10,,
YOR360C,10,,
YBR168W,10,,
YGR075C,10,,
YGR166W,10,,
YDR372C,10,,
YDR524C,10,,
YNL005C,10,,
YDR028C,10,,
YMR264W,10,,
YNL280C,10,,
YHR071W,10,,
YIR024C,10,,
YNL004W,10,,
YDR033W,10,,
YDR373W,10,,
YKL124W,10,,
YNL279W,10,,
YLR013W,9,,
YPR199C,9,,
YOR001W,9,,
YAL017W,9,,
YIL018W,9,,
YKL001C,9,,
YJR044C,9,,
YLR022C,9,,
YAL018C,9,,
YMR087W,9,,
YHR195W,9,,
YDR052C,9,,
YBR040W,9,,
YDL020C,8,,
YER164W,8,,
YGL048C,8,,
YOR052C,8,,
YDR394W,8,,
YGL173C,8,,
YFR010W,8,,
YGL011C,8,,
YOR261C,8,,
YLR422W,8,,
YGL047W,8,,
YER095W,8,,
YER094C,8,,
YPR107C,8,,
YOR262W,8,,
YOR259C,8,,
YPR108W,8,,
YDR427W,8,,
YJL002C,8,,
YNL251C,8,,
YDL143W,8,,
YIL075C,8,,
YOR157C,8,,
YOR158W,8,,
YGL172W,8,,
YML092C,8,,
YDR363W-A,8,,
YLR421C,8,,
YGR135W,8,,
YFR050C,8,,
YOL038C-A,8,,
YEL037C,8,,
YER021W,8,,
YNL250W,8,,
YGL010W,8,,
YER012W,8,,
YKL145W,8,,
YOL038W,8,,
YCR061W,8,,
YJL001W,8,,
YGL122C,8,,
YKL054C,8,,
YER163C,8,,
YOR260W,8,,
YDL144C,8,,
YCR059C,8,,
