"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0194231	0.7484833	0.5041550	0.9999334	1.0000000	0.6449775	0.4920709	0.8745997	0.5749478	0.3357186
100	0.0194188	0.7484874	0.5041608	0.9999467	1.0000000	0.6450297	0.4921754	0.8753696	0.6042575	0.2399392
150	0.0194169	0.7484903	0.5041675	0.9999533	1.0000000	0.6450129	0.4920265	0.8821935	0.6601653	0.1967653
200	0.0194161	0.7484929	0.5041725	0.9999561	1.0000000	0.6451986	0.4910836	0.8912653	0.7100031	0.1798641
250	0.0194157	0.7484950	0.5041753	0.9999571	1.0000000	0.6458290	0.4895676	0.8984431	0.7425973	0.1732361
300	0.0194154	0.7484966	0.5041767	0.9999575	1.0000000	0.6467863	0.4881360	0.9029061	0.7607808	0.1704382
350	0.0194153	0.7484976	0.5041774	0.9999577	1.0000000	0.6477297	0.4872106	0.9053540	0.7701122	0.1691497
400	0.0194152	0.7484981	0.5041776	0.9999577	1.0000000	0.6484018	0.4868101	0.9066086	0.7747150	0.1685202
450	0.0194152	0.7484984	0.5041778	0.9999578	1.0000000	0.6487518	0.4867359	0.9072295	0.7769544	0.1682049
500	0.0194151	0.7484986	0.5041778	0.9999578	1.0000000	0.6488705	0.4867821	0.9075323	0.7780435	0.1680466
550	0.0194151	0.7484987	0.5041767	0.9999443	1.0000000	0.6488788	0.4868269	0.9079783	0.7817286	0.2710822
600	0.0194151	0.7484983	0.5041711	0.9999309	1.0000000	0.6488657	0.4868303	0.9067039	0.7395026	0.3648414
650	0.0194151	0.7484969	0.5041644	0.9999243	1.0000000	0.6488376	0.4870489	0.9007844	0.6803896	0.4073391
700	0.0194152	0.7484949	0.5041595	0.9999216	1.0000000	0.6486357	0.4878314	0.8927726	0.6361524	0.4245434
750	0.0194152	0.7484931	0.5041566	0.9999205	1.0000000	0.6480982	0.4890909	0.8858497	0.6101958	0.4320397
800	0.0194153	0.7484916	0.5041552	0.9999201	1.0000000	0.6472806	0.4903963	0.8811720	0.5965291	0.4358682
850	0.0194154	0.7484907	0.5041546	0.9999200	1.0000000	0.6464176	0.4913731	0.8784318	0.5895826	0.4380597
900	0.0194155	0.7484901	0.5041543	0.9999199	1.0000000	0.6457304	0.4919143	0.8769396	0.5860214	0.4393498
950	0.0194155	0.7484898	0.5041542	0.9999199	1.0000000	0.6453051	0.4921223	0.8761467	0.5841454	0.4400960
1000	0.0194155	0.7484897	0.5041542	0.9999199	1.0000000	0.6451031	0.4921594	0.8757237	0.5831314	0.4405165
