"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
350	0.2246428	0.2523229	0.8107011	0.1735226	0.6488587	0.7395338	0.8467654	0.7412613	0.3201758	0.7910572
400	0.1587790	0.2134806	0.8386480	0.2142573	0.4822149	0.7506088	0.6433800	0.7109506	0.3689248	0.8400931
450	0.2306977	0.2788083	0.6463676	0.1712897	0.5003914	0.6969776	0.6922985	0.5816703	0.2966887	0.8083154
500	0.1785231	0.2418804	0.8195829	0.1410298	0.6051985	0.7738960	0.6312551	0.6909109	0.3945926	0.6746872
550	0.2225358	0.2319123	0.7104244	0.3932287	0.4281238	0.6708272	0.6920970	0.7013408	0.3453939	0.8101555
600	0.2962129	0.1823729	0.6881979	0.4965196	0.3220049	0.8805123	0.6297531	0.6686618	0.2696390	0.8553334
650	0.1767624	0.2970121	0.6437031	0.6283460	0.4009277	0.7035658	0.8423796	0.3696419	0.1915663	0.8123065
700	0.1170149	0.2345943	0.5597252	0.7521282	0.3534928	0.6318319	0.8917547	0.3349305	0.0791172	0.7226707
750	0.1737778	0.2663846	0.3454808	0.7137122	0.5023692	0.8207264	0.6872464	0.2093197	0.0838339	0.7295409
800	0.1742353	0.2514645	0.4476740	0.6825029	0.4032924	0.6156449	0.7897105	0.2246366	0.1084017	0.8448505
850	0.1052875	0.3230349	0.2966126	0.5642599	0.4507649	0.7946466	0.6554920	0.1934751	0.1645857	0.7583357
900	0.2194268	0.3282920	0.3090009	0.5848315	0.3286291	0.7566283	0.7155899	0.1224591	0.1021571	0.7502668
950	0.1855335	0.2673028	0.3499315	0.6269627	0.3772713	0.7229009	0.6424116	0.1336200	0.0954556	0.7736042
1000	0.1438496	0.3579605	0.3649196	0.7310726	0.3257940	0.7288026	0.5979594	0.1528617	0.1303860	0.7700945
