"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
250	0.4546986	0.7809651	0.0582446	0.6338378	0.0831168	0.2695883	0.9958007	0.8556201	0.7657754	0.3519527
300	0.4468462	0.6622810	0.0515572	0.5913837	0.0761662	0.2829854	0.9568892	0.8101361	0.6849636	0.3404591
350	0.4133966	0.7074931	0.0409676	0.5792275	0.0727122	0.2664265	0.8795123	0.7591857	0.6791418	0.4204464
400	0.4574248	0.7142827	0.0262747	0.6483317	0.0757478	0.3024966	0.8801309	0.7067932	0.6649992	0.3417763
450	0.4333124	0.7489803	0.0401933	0.6521357	0.1154415	0.3374744	0.9320091	0.7900398	0.5934211	0.3780278
500	0.3761815	0.7700524	0.0634423	0.6525738	0.1133602	0.3362582	1.0636780	0.7674696	0.6987072	0.3515083
550	0.4591389	0.7496208	0.0295679	0.7616647	0.1320358	0.2953056	0.9538449	0.8003341	0.6900327	0.2860572
600	0.4104302	0.7021905	0.0421176	0.8604892	0.1000428	0.2901756	0.9311440	0.7392427	0.7123005	0.3196820
650	0.4455758	0.7884906	0.0661590	0.8618204	0.0815161	0.2980388	0.9671128	0.8263489	0.7003095	0.3229514
700	0.4702513	0.7062546	0.0501706	0.8388984	0.1029746	0.2861690	0.9586596	0.8385111	0.7076325	0.3101646
750	0.4535948	0.7072861	0.0385333	0.7620070	0.0760526	0.2887933	1.0462204	0.7615700	0.6346700	0.3057878
800	0.4099408	0.7156159	0.0506231	0.8580640	0.1265975	0.3388192	1.0238033	0.7565006	0.6412345	0.3217581
850	0.4808181	0.7968842	0.0487929	0.8939892	0.0922897	0.3223117	1.0901723	0.7651669	0.6933589	0.3699056
900	0.4999522	0.7937873	0.0434082	0.8936655	0.1212605	0.3291272	0.9910585	0.8414924	0.7819741	0.3067256
950	0.5257347	0.6930486	0.0248726	0.8366317	0.0895039	0.2991758	0.9618000	0.7988831	0.7271901	0.2939274
1000	0.4284352	0.6297660	0.0552242	0.8180068	0.1052257	0.2974763	0.9288653	0.8646775	0.7239687	0.2885881
