"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
800	0.1669376	0.3352225	0.5078675	0.6153470	0.4164338	0.7272225	0.0268821	0.0772617	0.0428265	0.7203695
850	0.1282860	0.3479297	0.5780351	0.6692778	0.5385390	0.7850133	0.0371388	0.0896037	0.0437990	0.6586158
900	0.1445305	0.3586111	0.4626461	0.8242362	0.5301697	0.7576260	0.0479973	0.0849677	0.0217229	0.6971065
950	0.1583632	0.2841999	0.5547336	0.7633740	0.4967170	0.8751962	0.0692996	0.0516259	0.0247623	0.7537942
1000	0.2414441	0.2374821	0.4981657	0.7080958	0.4491598	0.6487161	0.0391215	0.0558681	0.0302856	0.7280804

0	0.2820385	0.3142554	0.6945055	0.7861139	0.4038965	0.6987568	0.0360561	0.0883120	0.0602149	0.7040304
50	0.3288392	0.1816728	0.5221839	0.9077088	0.5067704	0.3984590	0.0701630	0.1051618	0.0201082	0.6870657
100	0.4676831	0.1529611	0.4911560	0.7834489	0.1782924	0.2125214	0.0487269	0.0733966	0.1252029	0.8166184
150	0.4597207	0.1463099	0.5762405	0.5770548	0.2043154	0.2527204	0.0395284	0.0896812	0.1193807	0.7474349
200	0.5912547	0.1227711	0.6179391	0.7767654	0.1044279	0.2559196	0.0908207	0.1291558	0.0956166	0.7351500
250	0.8041895	0.0852136	0.4899162	0.7177092	0.1013096	0.2370318	0.0495188	0.1088659	0.1403132	0.7262384
300	0.6268751	0.0925609	0.5024542	0.7614405	0.1381254	0.2393050	0.0667119	0.1611975	0.2310918	0.6380841
350	0.6775892	0.0574388	0.4643541	0.7168435	0.1095964	0.2000814	0.1373516	0.3080073	0.2622409	0.7465777
400	0.7387682	0.0550484	0.4702810	0.8039586	0.1287066	0.1168432	0.1922558	0.2747634	0.2783964	0.7412644
450	0.7350357	0.1158590	0.4918099	0.7844721	0.1097048	0.1060875	0.2458833	0.2591695	0.2191806	0.6396006
500	0.6726878	0.1056466	0.4094783	0.6534795	0.0244256	0.0562835	0.1491957	0.2891860	0.2397864	0.6521890
550	0.5876799	0.2902168	0.5306022	0.8070675	0.0263737	0.1618943	0.1314847	0.2407580	0.0753141	0.7993527
600	0.3958207	0.3414542	0.5140971	0.6657474	0.0638035	0.2907058	0.1764183	0.1922094	0.0943707	0.7535714
650	0.1934221	0.3833283	0.4568110	0.6797209	0.1135797	0.2178297	0.1864595	0.1993922	0.0334846	0.8060354
700	0.1245518	0.3600556	0.4204192	0.6438229	0.1087037	0.2982169	0.1268315	0.1150533	0.0377180	0.6712604
750	0.0995711	0.3466798	0.5348677	0.8077679	0.1409615	0.4273089	0.0198025	0.1060395	0.0422634	0.6419485
800	0.1216993	0.3377562	0.5320589	0.8467885	0.2371367	0.6158276	0.0526425	0.0956116	0.0251254	0.7741786
850	0.1713541	0.4046799	0.4958805	0.7979940	0.3431476	0.6908362	0.0315793	0.0890903	0.0324376	0.6984707
900	0.1196220	0.4159043	0.5677529	0.6969063	0.4281768	0.7251458	0.0162557	0.0949491	0.0199737	0.7505595
950	0.0892196	0.2955391	0.4760875	0.7409207	0.5547206	0.9207264	0.0362691	0.1028600	0.0295324	0.6631389
1000	0.1386961	0.3152647	0.5716631	0.7338451	0.4433909	0.7234200	0.0326232	0.0954117	0.0391709	0.6391949

0	0.1734980	0.4013736	0.5467621	0.7569249	0.4855334	0.8562792	0.0398197	0.1471195	0.0678488	0.7991198
50	0.0926044	0.3113528	0.5841347	0.9080504	0.6293226	0.7615573	0.1052315	0.0908959	0.0149735	0.8142596
100	0.0365333	0.2834583	0.6067787	0.7546507	0.5094461	0.6318898	0.1460229	0.1089982	0.0089192	0.7326095
150	0.0483867	0.3553387	0.7032611	0.7014861	0.4045341	0.6406469	0.1330989	0.0814275	0.0200995	0.6661707
200	0.0223944	0.2438251	0.8548966	0.7250424	0.4404403	0.4606070	0.1364507	0.0595422	0.0181343	0.7141659
250	0.0577498	0.2369691	0.8021483	0.7694813	0.5122360	0.5967120	0.1150248	0.0821320	0.0199017	0.7059952
300	0.0471227	0.2709142	0.7983149	0.8269505	0.5059081	0.5463849	0.1204059	0.0962438	0.0217801	0.6332451
350	0.0661177	0.1995455	0.7293553	0.6899884	0.4540884	0.4461827	0.1631863	0.0901448	0.0320584	0.8579195
400	0.0547318	0.1786667	0.7000955	0.6920920	0.4514680	0.3744115	0.1460962	0.0788086	0.0256582	0.7483633
450	0.0980918	0.2332140	0.7071239	0.7137716	0.4074130	0.3138665	0.1147840	0.0510574	0.0133570	0.8226322
500	0.1148307	0.2467971	0.6631977	0.6791688	0.2826592	0.2236694	0.1401404	0.0893498	0.0157556	0.6351059
550	0.4933713	0.2450558	0.5654683	0.7208905	0.1915420	0.3129484	0.0840355	0.0689346	0.0955351	0.7890778
600	0.3022396	0.3090948	0.6084130	0.6739155	0.2336399	0.5941761	0.0376451	0.0738707	0.0827431	0.8609079
650	0.2825940	0.2995039	0.5751265	0.7090160	0.3462310	0.7020297	0.0413331	0.0781463	0.0460424	0.6723258
700	0.2012443	0.3162029	0.4918809	0.6954123	0.3910059	0.7544472	0.0419783	0.1030214	0.0743859	0.7544336
750	0.1698793	0.3108098	0.5264791	0.7405830	0.4275306	0.6749486	0.0453153	0.1518857	0.0209140	0.7410612
800	0.2040171	0.2263661	0.5736537	0.8369226	0.4811933	0.7614648	0.0606050	0.0756509	0.0401032	0.6960962
850	0.1549007	0.3543957	0.4871884	0.8397176	0.5500494	0.7261143	0.0830587	0.1204643	0.0260527	0.7385948
900	0.1579287	0.4373120	0.5321135	0.7994948	0.4480808	0.5735253	0.0770360	0.1077216	0.0393328	0.7066650
950	0.1741547	0.3055561	0.5452618	0.6749648	0.5431311	0.7218984	0.0489526	0.0838582	0.0520005	0.7950074
1000	0.2303659	0.2418829	0.5061597	0.7494749	0.6048287	0.6757324	0.0471741	0.1236018	0.0639296	0.8003724
