"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
100	0.8059033	0.4990452	0.4051726	0.2464793	0.1356749	0.0899077	0.5271374	0.5532808	0.2987381	0.5354534
150	0.7207033	0.8208248	0.3822855	0.3092305	0.1455125	0.0570150	0.4968387	0.4395132	0.3564539	0.4911492
200	0.7324905	0.6455868	0.4470754	0.2889588	0.1305591	0.0909718	0.4811938	0.4765497	0.3104600	0.4850662
250	0.6361436	0.6760091	0.4865890	0.2508053	0.1223329	0.0657186	0.4849963	0.5169502	0.2931392	0.5976967
300	0.6370376	0.6805964	0.4205948	0.3745363	0.1699838	0.0996643	0.3679815	0.4852220	0.3138408	0.4834847
350	0.6703533	0.7358654	0.5884677	0.3473716	0.2016760	0.0501874	0.4396842	0.5521296	0.3261819	0.4930915
400	0.6416160	0.5761422	0.3895016	0.3330663	0.1392548	0.1014493	0.4056719	0.5824861	0.3261024	0.5524266
450	0.6029725	0.5488830	0.4115760	0.4130022	0.1236138	0.0782438	0.3794466	0.4746177	0.3830575	0.4108382
500	0.6744950	0.6310811	0.5344341	0.5167609	0.1284417	0.0490715	0.4765424	0.3898030	0.2513855	0.5227055
550	0.6896282	0.6949866	0.5139349	0.2135915	0.1198994	0.0797360	0.5160947	0.4654697	0.3881849	0.4276798
600	0.7487959	0.8347255	0.4429379	0.1829121	0.2246929	0.0962316	0.4739747	0.4566010	0.2987702	0.5806596
650	0.6540808	0.6743839	0.4702436	0.1910202	0.1001729	0.0795525	0.4940928	0.4702601	0.3653811	0.8144995
700	0.7157858	0.6158093	0.4950637	0.1963191	0.0979462	0.0450778	0.5869306	0.6727276	0.1933530	0.7307969
750	0.7531535	0.6997367	0.4439900	0.1756823	0.1178754	0.0877145	0.4109695	0.6790761	0.2574488	0.7479593
800	0.6141411	0.5883774	0.5041243	0.1810110	0.1290816	0.0695504	0.5844772	0.5968642	0.2479057	0.6483738
850	0.6657533	0.6191825	0.4085174	0.1302178	0.1903218	0.0836911	0.6278206	0.6280622	0.3268489	0.7148435
900	0.7147161	0.6878466	0.4040740	0.2135696	0.1403792	0.0882355	0.5196869	0.6123372	0.2929099	0.6601437
950	0.6910890	0.5927967	0.3402552	0.1938719	0.1067669	0.0654462	0.5605296	0.6370424	0.2929932	0.6966637
1000	0.9337407	0.5696404	0.3734683	0.1805461	0.1047836	0.0708151	0.4549576	0.7045926	0.3130108	0.6405166

0	0.7772653	0.5391398	0.2660064	0.1467784	0.0821880	0.0409544	0.5240197	0.6347877	0.3388532	0.7826626
50	0.6641129	0.7179538	0.4305768	0.0833460	0.1075580	0.0327103	0.5783609	0.4790014	0.2895988	0.5122683
100	0.8285279	0.6678882	0.4143952	0.0873867	0.1121909	0.0190536	0.5088020	0.2410954	0.3606915	0.3428863
150	0.7178090	0.6727953	0.5883901	0.1198825	0.0513967	0.0259395	0.5142546	0.2993029	0.3566178	0.2226567
200	0.7333940	0.6281471	0.4867867	0.0543302	0.0247332	0.0434185	0.7204317	0.2420447	0.5959985	0.2375472
250	0.7067615	0.8017639	0.4483909	0.0601203	0.0064625	0.0105955	0.6694749	0.1143935	0.4023747	0.1867397
300	0.7183504	0.6940303	0.4675694	0.0305037	0.0244392	0.0108833	0.5687839	0.0915543	0.4582764	0.2572342
350	0.7715965	0.6419597	0.4596107	0.0295509	0.0071663	0.0167127	0.5710470	0.0758301	0.5630669	0.3100577
400	0.5944806	0.6067473	0.5924624	0.0447499	0.0187268	0.0146106	0.6844894	0.0757209	0.5560901	0.2255305
450	0.7031598	0.6741858	0.4563139	0.0275497	0.0065572	0.0246403	0.7358893	0.0595668	0.5076490	0.2677829
500	0.8197073	0.6166324	0.4658364	0.0275360	0.0302327	0.0155415	0.5808027	0.0570511	0.5554369	0.3506201
550	0.5995170	0.6796915	0.3554092	0.0697385	0.0168078	0.0419618	0.5673740	0.1547594	0.4213854	0.3570287
600	0.6488952	0.6763091	0.3123811	0.0212959	0.0143413	0.0256117	0.5920012	0.3112928	0.3650848	0.6409259
650	0.6271640	0.6055141	0.1706883	0.0538158	0.0458660	0.0590910	0.5719779	0.4376451	0.3731165	0.7194435
700	0.6265974	0.4911227	0.1341242	0.0212937	0.0476058	0.0673651	0.7173034	0.4490511	0.3533764	0.6926989
750	0.6326329	0.4509223	0.1377115	0.0808653	0.0474215	0.0664877	0.7040750	0.4713305	0.3432494	0.7157303
800	0.6304180	0.4872942	0.1418113	0.1065023	0.0657141	0.0682508	0.6974002	0.5385355	0.3166500	0.7607467
850	0.6496831	0.3685699	0.1616507	0.1041789	0.0709960	0.0529624	0.8011971	0.5399981	0.2490561	0.7851803
900	0.5175476	0.4293868	0.2178821	0.0892073	0.1629547	0.0634354	0.6208749	0.6124420	0.2918675	0.6010040
950	0.6635587	0.5004775	0.2784336	0.1576902	0.1177677	0.0446609	0.6163312	0.5480105	0.2651797	0.6090312
1000	0.7138595	0.5683706	0.2686932	0.1579991	0.1673057	0.0679836	0.6039507	0.6158680	0.2548840	0.6346656
