"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
1000	0.6948221	0.6038203	0.8208864	0.4531221	0.1358441	0.3725762	0.3960389	0.0709747	0.5748498	0.0519545

0	0.6548170	0.6203145	0.6558910	0.2738661	0.3658258	0.5410386	0.5204551	0.1071933	0.6874799	0.0365558
50	0.7219672	0.6752291	0.4007651	0.2018996	0.2750895	0.4246783	0.4067826	0.1469572	0.7996477	0.0253866
100	0.8401851	0.5806935	0.1938207	0.2724497	0.3892258	0.4020563	0.4528044	0.2596210	0.5763744	0.0553182
150	0.8917597	0.3216943	0.1205796	0.2037869	0.3458069	0.4744697	0.3357306	0.3156690	0.6331910	0.1919202
200	0.7954827	0.1927456	0.0929739	0.2213125	0.2985481	0.4267794	0.2593561	0.3019297	0.7304681	0.3740191
250	0.8020586	0.1298786	0.0612556	0.2679138	0.1712698	0.4274990	0.2493564	0.3676684	0.7143771	0.4845581
300	0.7520043	0.1585159	0.0717934	0.3154019	0.1635721	0.5112912	0.2223947	0.3363806	0.6971341	0.5282195
350	0.7611277	0.0476184	0.0805041	0.4803840	0.1942973	0.5119931	0.2122718	0.2655905	0.6529979	0.6822347
400	0.7331756	0.0594122	0.0700138	0.5277388	0.2534790	0.5888561	0.1828644	0.3140937	0.3847864	0.5867009
450	0.7744425	0.0198209	0.0930842	0.5579924	0.2761387	0.4137513	0.1707184	0.3258549	0.4126488	0.6461863
500	0.7702698	0.0219576	0.0681024	0.4568744	0.2429954	0.4106844	0.1761246	0.3409880	0.2938633	0.6212208
550	0.7625516	0.0893589	0.3156883	0.5213484	0.2359689	0.5221861	0.2570101	0.2068580	0.3438744	0.5240663
600	0.7310566	0.2141210	0.6451940	0.3646636	0.2743219	0.5767909	0.3545000	0.1033634	0.5067383	0.3374694
650	0.7385366	0.5574579	0.6257470	0.3554470	0.4206205	0.4502542	0.3361217	0.1076099	0.6667375	0.1667798
700	0.8303373	0.5495221	0.5310100	0.2808739	0.3869607	0.6531698	0.3824107	0.0847692	0.7792028	0.0838051
750	0.8210533	0.5949757	0.5808057	0.2779474	0.3475977	0.5550554	0.3586082	0.0741834	0.8516753	0.0689344
800	0.9263465	0.6195551	0.6658238	0.1827204	0.3227173	0.5572048	0.4785928	0.1367584	0.7554263	0.0130758
850	0.7678571	0.7167869	0.7006182	0.1747552	0.4348114	0.5573668	0.3806985	0.0922078	0.6925130	0.0268778
900	0.7804597	0.6652927	0.8018373	0.1683024	0.3536922	0.3552086	0.4138942	0.1458291	0.8321840	0.0179859
950	0.8553297	0.6842684	0.6668190	0.1603138	0.3651386	0.5396746	0.3883301	0.0679695	0.6683717	0.0189229
1000	0.7857254	0.6434675	0.7568980	0.2511635	0.3101061	0.4812417	0.4160311	0.0911134	0.7176522	0.0263914
