"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
550	0.2347862	0.9337861	0.3338433	0.4083294	0.5694562	0.9365623	0.8331011	0.2168516	0.9997020	1.0000000
600	0.2326896	0.9490705	0.4555152	0.4665261	0.5933158	0.9696344	0.6534081	0.3718526	0.9996855	1.0000000
650	0.2288210	0.9655556	0.5782821	0.4708962	0.6191619	0.9876981	0.4535441	0.4302182	0.9996803	1.0000000
700	0.2243350	0.9779427	0.6565940	0.4562920	0.6387322	0.9951812	0.3358650	0.4507874	0.9996790	1.0000000
750	0.2204262	0.9854043	0.6897682	0.4406370	0.6505914	0.9980561	0.2800538	0.4590782	0.9996787	1.0000000
800	0.2176102	0.9892907	0.6935758	0.4294537	0.6568465	0.9991301	0.2557081	0.4632620	0.9996786	1.0000000
850	0.2158373	0.9910405	0.6838463	0.4228014	0.6598575	0.9995150	0.2451842	0.4657207	0.9996786	1.0000000
900	0.2148397	0.9916442	0.6709417	0.4192644	0.6612130	0.9996363	0.2404287	0.4672148	0.9996786	1.0000000
950	0.2143430	0.9916952	0.6597717	0.4175277	0.6617877	0.9996585	0.2381230	0.4680895	0.9996786	1.0000000
1000	0.2141377	0.9915258	0.6517285	0.4167282	0.6620136	0.9996469	0.2369358	0.4685652	0.9996786	1.0000000
