"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
900	1.0000000	0.9367596	0.9996738	0.9591562	0.0486349	0.0558288	0.0615872	0.3039232	0.8321619	0.9999469
950	1.0000000	0.9367589	0.9996738	0.9587993	0.0487573	0.0562278	0.0617809	0.3039943	0.8321606	0.9999439
1000	1.0000000	0.9367584	0.9996738	0.9586492	0.0488058	0.0564073	0.0618563	0.3040215	0.8321597	0.9999425

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9356867	0.9996577	0.9670677	0.0428865	0.0556097	0.0440833	0.1549875	0.7713742	0.9459712
100	1.0000000	0.9330816	0.9996147	0.9832119	0.0342450	0.0512943	0.0280853	0.1061290	0.7491467	0.9327889
150	1.0000000	0.9309919	0.9995749	0.9925519	0.0307389	0.0480470	0.0246290	0.0929085	0.7402876	0.9295709
200	1.0000000	0.9298420	0.9995494	0.9964613	0.0297129	0.0466950	0.0240290	0.0905713	0.7367810	0.9287846
250	1.0000000	0.9293168	0.9995357	0.9979156	0.0294383	0.0462313	0.0239100	0.0908616	0.7354610	0.9285923
300	1.0000000	0.9291019	0.9995292	0.9984165	0.0293700	0.0460853	0.0238864	0.0914460	0.7349970	0.9285453
350	1.0000000	0.9290199	0.9995264	0.9985730	0.0293568	0.0460417	0.0238849	0.0918454	0.7348471	0.9285339
400	1.0000000	0.9289901	0.9995252	0.9986140	0.0293569	0.0460293	0.0238875	0.0920589	0.7348041	0.9285310
450	1.0000000	0.9289797	0.9995247	0.9986204	0.0293590	0.0460261	0.0238899	0.0921596	0.7347941	0.9285304
500	1.0000000	0.9289761	0.9995246	0.9986188	0.0293607	0.0460255	0.0238913	0.0922034	0.7347930	0.9285302
550	1.0000000	0.9301985	0.9995477	0.9965622	0.0303290	0.0460407	0.0256019	0.2514768	0.7954168	0.9825100
600	1.0000000	0.9329311	0.9995980	0.9863545	0.0356775	0.0464061	0.0368703	0.2972401	0.8178083	0.9957183
650	1.0000000	0.9349499	0.9996354	0.9732605	0.0426103	0.0481191	0.0515894	0.3068731	0.8267032	0.9989451
700	1.0000000	0.9360017	0.9996562	0.9643494	0.0469275	0.0512696	0.0597010	0.3072421	0.8301904	0.9997205
750	1.0000000	0.9364659	0.9996662	0.9601291	0.0486411	0.0542068	0.0622883	0.3060542	0.8314949	0.9998952
800	1.0000000	0.9366512	0.9996707	0.9586313	0.0490692	0.0558942	0.0626403	0.3050886	0.8319535	0.9999304
850	1.0000000	0.9367203	0.9996726	0.9582840	0.0490685	0.0565507	0.0624321	0.3045322	0.8321028	0.9999371
900	1.0000000	0.9367449	0.9996733	0.9583034	0.0489848	0.0566992	0.0622011	0.3042551	0.8321468	0.9999390
950	1.0000000	0.9367534	0.9996736	0.9583908	0.0489162	0.0566765	0.0620520	0.3041287	0.8321579	0.9999400
1000	1.0000000	0.9367563	0.9996737	0.9584612	0.0488753	0.0566244	0.0619722	0.3040745	0.8321598	0.9999406

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	0.8505755	0.9474255	0.9997319	0.9682039	0.2584977	0.0554975	0.0420986	0.1285671	0.8319996	0.9999500
100	0.7910331	0.9501438	0.9997488	0.9856068	0.2894878	0.0509443	0.0263822	0.0624093	0.8315753	0.9999786
150	0.7673067	0.9508374	0.9997536	0.9948030	0.2937594	0.0477793	0.0238907	0.0374811	0.8312011	0.9999928
200	0.7578523	0.9510149	0.9997548	0.9982547	0.2943620	0.0465492	0.0236434	0.0281009	0.8309682	0.9999972
