"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
450	0.4316150	0.2010392	0.2610578	0.4422095	0.5663982	0.0753874	0.4032910	0.6543451	0.0436781	0.6297510
500	0.5129735	0.3174442	0.2424565	0.3995395	0.5050048	0.0568423	0.4191532	0.7507571	0.0371575	0.6822805
550	0.5402690	0.2124419	0.2655359	0.4003484	0.6019273	0.5420330	0.6111898	0.7596653	0.5519224	0.6981927
600	0.6048448	0.1588663	0.2697049	0.3436594	0.5582116	0.6906550	0.6619006	0.5926352	0.6804076	0.7684728
650	0.5751031	0.1363014	0.2220160	0.4035481	0.2678978	0.6560738	0.7887796	0.3810062	0.7878745	0.6784771
700	0.5701098	0.1203555	0.2311234	0.4103265	0.4876522	0.6800783	0.6714190	0.4784083	0.7488973	0.7566863
750	0.4206627	0.1158539	0.1786679	0.3799931	0.3363009	0.7278393	0.7144620	0.3471758	0.6672671	0.6739472
800	0.4400691	0.1274932	0.2591682	0.3650336	0.4196337	0.6474362	0.8292040	0.3406323	0.6728636	0.7616796
850	0.4648611	0.1155309	0.2574373	0.3875383	0.2879394	0.6766956	0.8348781	0.3430530	0.8619495	0.7357552
900	0.4853778	0.1260982	0.2506581	0.3050419	0.3733644	0.6284417	0.6742077	0.3397557	0.8015202	0.7828593
950	0.5611305	0.1410262	0.2483806	0.3345517	0.3938634	0.6057109	0.6245548	0.2928927	0.6284066	0.7725782
1000	0.5283361	0.2436191	0.3996443	0.3459501	0.2635914	0.8195946	0.6154821	0.3681516	0.6338163	0.6967172
