"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
700	0.0739953	0.3214721	0.9845772	0.2331857	0.5770847	0.5899780	0.9765577	0.0172826	0.1610919	0.5207263
750	0.0735149	0.3169440	0.9809545	0.2452522	0.5538863	0.6172954	0.9897551	0.0174825	0.1675897	0.5338773
800	0.0723647	0.3131205	0.9775797	0.2573031	0.5365510	0.6320128	0.9955174	0.0177438	0.1724699	0.5418489
850	0.0711280	0.3103834	0.9742136	0.2680773	0.5253258	0.6393666	0.9979416	0.0180135	0.1755800	0.5462470
900	0.0700911	0.3086378	0.9709547	0.2765245	0.5187321	0.6428532	0.9989299	0.0182457	0.1773474	0.5485169
950	0.0693374	0.3076149	0.9680644	0.2824377	0.5151240	0.6444411	0.9993193	0.0184193	0.1782735	0.5496309
1000	0.0688414	0.3070529	0.9657461	0.2862137	0.5132541	0.6451399	0.9994659	0.0185355	0.1787310	0.5501558

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0681864	0.3061706	0.9614504	0.2909691	0.5115180	0.6456388	0.9995358	0.0186957	0.1810519	0.5614415
100	0.0680596	0.3044721	0.9613483	0.2910028	0.5115173	0.6456361	0.9995333	0.0188036	0.1874651	0.5733266
150	0.0676779	0.3021881	0.9613016	0.2910151	0.5115180	0.6456337	0.9995267	0.0190999	0.1930211	0.5797836
200	0.0671096	0.3003528	0.9612810	0.2910191	0.5115190	0.6456292	0.9995105	0.0194940	0.1961423	0.5827012
250	0.0665451	0.2992092	0.9612723	0.2910199	0.5115208	0.6456198	0.9994848	0.0198509	0.1975935	0.5839106
300	0.0661071	0.2985950	0.9612689	0.2910193	0.5115241	0.6456052	0.9994547	0.0201073	0.1982043	0.5843861
350	0.0658185	0.2982955	0.9612678	0.2910177	0.5115292	0.6455876	0.9994265	0.0202654	0.1984459	0.5845647
400	0.0656493	0.2981593	0.9612677	0.2910149	0.5115357	0.6455700	0.9994038	0.0203531	0.1985365	0.5846278
450	0.0655583	0.2981008	0.9612684	0.2910111	0.5115429	0.6455548	0.9993877	0.0203982	0.1985683	0.5846478
500	0.0655126	0.2980771	0.9612694	0.2910067	0.5115498	0.6455432	0.9993772	0.0204199	0.1985781	0.5846525
550	0.0654959	0.2983802	0.9612708	0.2910022	0.5115556	0.6455351	0.9993710	0.0204183	0.1962520	0.5737856
600	0.0655939	0.3000370	0.9612723	0.2909980	0.5115600	0.6455300	0.9993691	0.0202529	0.1892393	0.5618975
650	0.0659487	0.3022774	0.9612738	0.2909946	0.5115632	0.6455283	0.9993778	0.0198685	0.1838667	0.5554383
700	0.0664961	0.3041074	0.9612751	0.2909920	0.5115647	0.6455329	0.9994005	0.0194490	0.1811194	0.5525201
750	0.0670547	0.3052726	0.9612762	0.2909904	0.5115640	0.6455449	0.9994317	0.0191262	0.1799110	0.5513114
800	0.0674995	0.3059123	0.9612769	0.2909902	0.5115606	0.6455622	0.9994627	0.0189212	0.1794167	0.5508373
850	0.0677994	0.3062302	0.9612772	0.2909916	0.5115548	0.6455808	0.9994879	0.0188057	0.1792241	0.5506598
900	0.0679789	0.3063770	0.9612770	0.2909945	0.5115477	0.6455973	0.9995058	0.0187458	0.1791524	0.5505971
950	0.0680772	0.3064410	0.9612763	0.2909985	0.5115406	0.6456101	0.9995174	0.0187166	0.1791273	0.5505769
1000	0.0681273	0.3064674	0.9612751	0.2910030	0.5115343	0.6456190	0.9995243	0.0187030	0.1791193	0.5505716

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
50	0.0687020	0.3404495	0.9614504	0.2909690	0.5115289	0.6441011	0.9498396	0.2919115	0.8247064	0.6045515
100	0.0816432	0.4583715	0.9613496	0.2909116	0.5139250	0.5844374	0.6563626	0.6287259	0.9603482	0.6542793
150	0.1170528	0.5349808	0.9613785	0.2887845	0.5362799	0.4173790	0.3923914	0.8279886	0.9719912	0.6514803
200	0.1575681	0.5728441	0.9621197	0.2778268	0.5979613	0.2607305	0.2390047	0.9239034	0.9721549	0.6126045
250	0.1899626	0.5994349	0.9649317	0.2541776	0.6848007	0.1746100	0.1627802	0.9658364	0.9710980	0.5654471
300	0.2147878	0.6262133	0.9703042	0.2247073	0.7645535	0.1372847	0.1277947	0.9831711	0.9701936	0.5268791
350	0.2363667	0.6529955	0.9768050	0.1987086	0.8201638	0.1226241	0.1124866	0.9900764	0.9696485	0.5011359
400	0.2566169	0.6762882	0.9826107	0.1802038	0.8526204	0.1170801	0.1059978	0.9927544	0.9693620	0.4859981
450	0.2749292	0.6939123	0.9868678	0.1687207	0.8694627	0.1150087	0.1033086	0.9937717	0.9692190	0.4778291
500	0.2900617	0.7058171	0.9896165	0.1622267	0.8775286	0.1142356	0.1022126	0.9941516	0.9691492	0.4736835
550	0.2992835	0.6600652	0.9912487	0.1587935	0.8811791	0.1139462	0.1017993	0.8895713	0.2934007	0.3688722
600	0.2726577	0.5161909	0.9921631	0.1570705	0.8827648	0.1138417	0.1026828	0.5304871	0.1426237	0.2554977
650	0.2121124	0.4357567	0.9926536	0.1562415	0.8834260	0.1138782	0.1156244	0.2633143	0.1280665	0.1947912
700	0.1596811	0.4068296	0.9929074	0.1558584	0.8835846	0.1151256	0.2160807	0.1243311	0.1267764	0.1758888
750	0.1287457	0.3976619	0.9930345	0.1557194	0.8816847	0.1343697	0.4668281	0.0611477	0.1266977	0.2086723
800	0.1134844	0.3906680	0.9930902	0.1561119	0.8638023	0.2248998	0.7078566	0.0343895	0.1271564	0.2909939
850	0.1054065	0.3782070	0.9930563	0.1589684	0.8076099	0.3672307	0.8578976	0.0235479	0.1298640	0.3818098
900	0.0989108	0.3608802	0.9927579	0.1677476	0.7249458	0.4883714	0.9353875	0.0193126	0.1375159	0.4522668
950	0.0920737	0.3433534	0.9918287	0.1843170	0.6469976	0.5649693	0.9717710	0.0177752	0.1491682	0.4975606
1000	0.0853064	0.3292257	0.9898276	0.2067800	0.5899004	0.6067074	0.9879172	0.0173755	0.1605542	0.5235544
