"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
50	0.7344064	0.3202175	0.9997688	0.4284445	0.1898421	1.0000000	0.9760217	0.9766261	0.3843927	0.0620048
100	0.7833822	0.3203043	0.9992345	0.2863101	0.1898421	1.0000000	0.9926058	0.9064305	0.1834508	0.0620042
150	0.7947196	0.3207355	0.9975772	0.2503628	0.1898421	1.0000000	0.9952974	0.8344743	0.1178551	0.0620041
200	0.7976092	0.3218971	0.9947796	0.2412714	0.1898421	1.0000000	0.9952803	0.8057720	0.0964420	0.0620040
250	0.7989044	0.3237904	0.9920460	0.2389721	0.1898421	1.0000000	0.9949270	0.7963593	0.0894519	0.0620040
300	0.8001111	0.3258345	0.9902416	0.2383905	0.1898421	1.0000000	0.9946782	0.7933795	0.0871700	0.0620040
350	0.8013094	0.3274604	0.9893084	0.2382435	0.1898421	1.0000000	0.9945481	0.7924433	0.0864251	0.0620040
400	0.8023000	0.3285022	0.9888905	0.2382063	0.1898421	1.0000000	0.9944883	0.7921494	0.0861819	0.0620040
450	0.8029850	0.3290759	0.9887186	0.2381969	0.1898421	1.0000000	0.9944627	0.7920571	0.0861025	0.0620040
500	0.8033965	0.3293598	0.9886515	0.2381945	0.1898421	1.0000000	0.9944523	0.7920281	0.0860766	0.0620040
550	0.5965799	0.3288422	0.9943948	0.8001893	0.1898421	1.0000000	0.8532439	0.7522977	0.7016403	0.0620040
600	0.5477077	0.3258419	0.9983314	0.9423236	0.1898421	1.0000000	0.8505568	0.8620396	0.9025856	0.0620040
650	0.5332845	0.3229610	0.9994379	0.9782709	0.1898421	1.0000000	0.8668813	0.9362566	0.9681825	0.0620040
700	0.5270981	0.3213553	0.9997314	0.9873624	0.1898421	1.0000000	0.8789423	0.9661832	0.9895960	0.0620040
750	0.5240067	0.3206462	0.9998115	0.9896617	0.1898421	1.0000000	0.8854133	0.9772508	0.9965862	0.0620040
800	0.5225235	0.3203684	0.9998345	0.9902432	0.1898421	1.0000000	0.8884931	0.9812401	0.9988681	0.0620040
850	0.5218686	0.3202667	0.9998416	0.9903903	0.1898421	1.0000000	0.8898737	0.9826610	0.9996130	0.0620040
900	0.5216000	0.3202309	0.9998439	0.9904275	0.1898421	1.0000000	0.8904703	0.9831628	0.9998562	0.0620040
950	0.5214959	0.3202185	0.9998447	0.9904369	0.1898421	1.0000000	0.8907214	0.9833387	0.9999356	0.0620040
1000	0.5214572	0.3202143	0.9998450	0.9904393	0.1898421	1.0000000	0.8908249	0.9834000	0.9999615	0.0620040
